"id","dmf_academicpage_id","dmf_taxonomyterm_id"
1,1,F_CAMP
2,2,F_ONLI
3,3,F_CAMP
4,3,F_ONLI
5,4,F_CAMP
6,5,F_CAMP
7,5,F_VIRT
8,5,F_ONLI
11,7,F_CAMP
12,7,F_ONLI
15,9,F_CAMP
16,9,F_VIRT
17,9,F_ONLI
18,10,F_CAMP
19,10,F_ONLI
20,11,F_CAMP
21,12,F_CAMP
22,13,F_CAMP
23,13,F_VIRT
24,13,F_ONLI
25,14,F_CAMP
26,14,F_VIRT
27,14,F_ONLI
28,15,F_CAMP
29,15,F_VIRT
30,15,F_ONLI
31,16,F_CAMP
32,17,F_CAMP
33,18,F_ONLI
34,19,F_CAMP
35,19,F_ONLI
36,19,F_VIRT
37,20,F_CAMP
38,20,F_ONLI
39,21,F_ONLI
40,21,F_CAMP
41,22,F_ONLI
42,22,F_CAMP
43,23,F_ONLI
44,23,F_CAMP
45,24,F_ONLI
46,24,F_VIRT
47,24,F_CAMP
48,25,F_ONLI
49,25,F_VIRT
50,25,F_CAMP
51,26,F_CAMP
52,27,F_CAMP
53,28,F_CAMP
54,29,F_CAMP
55,30,F_ONLI
56,30,F_VIRT
57,30,F_CAMP
58,31,F_ONLI
59,31,F_VIRT
60,31,F_CAMP
61,32,F_ONLI
62,32,F_VIRT
63,32,F_CAMP
64,33,F_ONLI
65,33,F_VIRT
66,33,F_CAMP
67,34,F_ONLI
68,34,F_VIRT
69,34,F_CAMP
70,35,F_ONLI
71,35,F_VIRT
72,35,F_CAMP
73,36,F_ONLI
74,36,F_VIRT
75,36,F_CAMP
76,37,F_ONLI
77,37,F_VIRT
78,37,F_CAMP
79,38,F_ONLI
80,38,F_VIRT
81,38,F_CAMP
82,39,F_ONLI
83,40,F_ONLI
84,40,F_CAMP
85,41,F_ONLI
86,41,F_CAMP
87,42,F_CAMP
91,44,F_CAMP
92,45,F_ONLI
93,45,F_CAMP
94,46,F_ONLI
95,48,F_ONLI
96,48,F_VIRT
97,48,F_CAMP
98,49,F_ONLI
99,49,F_VIRT
100,49,F_CAMP
101,50,F_ONLI
102,50,F_VIRT
103,50,F_CAMP
104,51,F_CAMP
105,52,F_CAMP
106,53,F_CAMP
107,54,F_CAMP
108,55,F_CAMP
109,56,F_CAMP
110,58,F_ONLI
111,58,F_VIRT
112,58,F_CAMP
113,59,F_ONLI
114,59,F_VIRT
115,59,F_CAMP
116,60,F_ONLI
117,60,F_VIRT
118,60,F_CAMP
119,61,F_ONLI
120,61,F_VIRT
121,61,F_CAMP
122,62,F_ONLI
123,63,F_ONLI
124,63,F_VIRT
125,63,F_CAMP
126,64,F_ONLI
127,64,F_VIRT
128,64,F_CAMP
129,65,F_ONLI
130,65,F_VIRT
131,65,F_CAMP
132,66,F_ONLI
133,67,F_ONLI
134,68,F_ONLI
135,69,F_ONLI
136,70,F_ONLI
137,71,F_ONLI
138,72,F_ONLI
139,73,F_ONLI
140,73,F_VIRT
141,73,F_CAMP
142,74,F_ONLI
143,75,F_ONLI
144,76,F_ONLI
145,76,F_VIRT
146,76,F_CAMP
147,77,F_ONLI
148,78,F_ONLI
149,78,F_VIRT
150,78,F_CAMP
151,79,F_ONLI
152,79,F_VIRT
153,79,F_CAMP
154,80,F_ONLI
155,80,F_VIRT
156,80,F_CAMP
157,81,F_VIRT
158,81,F_ONLI
159,81,F_CAMP
160,82,F_VIRT
161,82,F_ONLI
162,82,F_CAMP
163,83,F_VIRT
164,83,F_ONLI
165,83,F_CAMP
166,84,F_ONLI
167,85,F_VIRT
168,85,F_ONLI
169,85,F_CAMP
170,86,F_ONLI
171,87,F_VIRT
172,87,F_ONLI
173,87,F_CAMP
174,88,F_ONLI
175,89,F_ONLI
176,90,F_VIRT
177,90,F_ONLI
178,90,F_CAMP
179,91,F_CAMP
180,92,F_CAMP
181,93,F_CAMP
182,94,F_VIRT
183,94,F_ONLI
184,94,F_CAMP
185,95,F_ONLI
186,96,F_ONLI
187,97,F_VIRT
188,97,F_ONLI
189,97,F_CAMP
190,98,F_VIRT
191,98,F_ONLI
192,98,F_CAMP
193,99,F_VIRT
194,99,F_ONLI
195,99,F_CAMP
196,100,F_ONLI
197,101,F_ONLI
198,102,F_CAMP
199,103,F_ONLI
200,104,F_ONLI
201,105,F_ONLI
202,106,F_ONLI
203,107,F_CAMP
204,108,F_CAMP
205,109,F_CAMP
206,110,F_CAMP
207,111,F_ONLI
208,112,F_CAMP
209,113,F_ONLI
210,114,F_ONLI
211,47,F_ONLI
212,47,F_VIRT
213,47,F_CAMP
214,57,F_VIRT
215,57,F_ONLI
216,57,F_CAMP
