"id","dmf_academicpage_id","dmf_taxonomyterm_id"
1,1,SO_AAS
2,1,DP_THEO
3,2,DP_THEO
4,2,SO_AAS
5,3,DP_THEO
6,3,SO_AAS
7,4,DP_THEO
8,4,SO_AAS
9,5,SO_SBS
10,5,DP_VERT
11,6,SO_SBS
12,7,SO_SBS
13,8,SO_SBS
14,9,SO_SBS
15,9,DP_VERT
16,10,SO_SBS
17,11,SO_BUS
18,12,SO_AAS
19,12,DP_THEO
20,13,SO_AAS
21,13,DP_VERT
22,14,SO_AAS
23,14,DP_VERT
24,15,SO_AAS
25,15,DP_VERT
26,16,SO_AAS
27,16,DP_MUSC
28,17,DP_MUSC
29,17,SO_AAS
30,18,DP_THEO
31,18,SO_AAS
32,19,DP_VERT
33,19,SO_BUS
34,20,SO_BUS
35,20,DP_BUSI
36,21,SO_BUS
37,22,SO_BUS
38,22,DP_BUSI
39,24,SO_AAS
40,24,DP_THEO
41,25,SO_AAS
42,25,DP_THEO
43,26,SO_AAS
44,26,DP_THEO
45,27,SO_BUS
46,28,SO_AAS
47,28,DP_MUSC
48,29,SO_AAS
49,29,DP_MUSC
50,30,SO_SBS
51,31,SO_SBS
52,31,DP_BUSI
53,32,SO_AAS
54,33,SO_AAS
55,34,SO_AAS
56,34,DP_THEO
57,35,SO_BUS
58,35,DP_BUSI
59,36,SO_BUS
60,36,DP_BUSI
61,37,SO_BUS
62,38,SO_BUS
63,39,SO_AAS
64,39,DP_THEO
65,40,SO_SBS
66,41,SO_AAS
67,42,SO_AAS
68,42,DP_MUSC
69,43,SO_BUS
70,44,SO_EDU
71,44,DP_TEDU
72,45,SO_BUS
73,46,SO_BUS
74,48,SO_BUS
75,48,DP_BUSI
76,49,SO_BUS
77,49,DP_BUSI
78,50,SO_BUS
79,50,DP_BUSI
80,51,SO_EDU
81,52,SO_EDU
82,53,SO_EDU
83,54,SO_BUS
84,55,SO_EDU
85,56,SO_EDU
86,58,SO_BUS
87,59,SO_BUS
88,59,DP_VERT
89,60,SO_BUS
90,61,SO_BUS
91,62,SO_EDU
92,63,SO_SBS
93,64,SO_SBS
94,64,DP_BUSI
95,65,DP_PSYC
96,65,SO_SBS
97,66,SO_BUS
98,66,DP_THEO
99,67,SO_BUS
100,68,SO_BUS
101,69,SO_BUS
102,70,SO_BUS
103,71,SO_BUS
104,72,SO_BUS
105,73,SO_BUS
106,73,DP_VERT
107,74,SO_AAS
108,75,SO_BUS
109,76,SO_BUS
110,76,DP_BUSI
111,77,SO_BUS
112,78,SO_BUS
113,78,DP_VERT
114,79,SO_BUS
115,79,DP_BUSI
116,80,SO_BUS
117,80,DP_BUSI
118,81,DP_VERT
119,81,SO_BUS
120,82,DP_BUSI
121,82,SO_BUS
122,83,DP_VERT
123,83,SO_BUS
124,84,DP_THEO
125,84,SO_AAS
126,85,DP_THEO
127,85,SO_AAS
128,86,DP_THEO
129,86,SO_AAS
130,87,SO_AAS
131,88,SO_AAS
132,89,DP_THEO
133,89,SO_AAS
134,90,DP_BUSI
135,90,SO_BUS
136,91,SO_AAS
137,91,DP_MUSC
138,91,DP_TEDU
139,92,SO_AAS
140,92,DP_MUSC
141,93,SO_AAS
142,93,DP_MUSC
143,94,DP_THEO
144,94,SO_AAS
145,95,DP_THEO
146,95,SO_AAS
147,96,DP_THEO
148,96,SO_AAS
149,97,DP_THEO
150,97,SO_AAS
151,98,DP_THEO
152,98,SO_AAS
153,99,DP_THEO
154,99,SO_AAS
155,100,SO_AAS
156,101,DP_THEO
157,101,SO_AAS
158,102,SO_EDU
159,102,DP_TEDU
160,103,SO_EDU
161,104,SO_EDU
162,105,SO_EDU
163,106,SO_EDU
164,106,DP_TEDU
165,107,SO_EDU
166,107,DP_TEDU
167,108,SO_EDU
168,108,DP_TEDU
169,109,SO_EDU
170,109,DP_TEDU
171,110,SO_EDU
172,111,SO_BUS
173,112,SO_EDU
174,113,SO_BUS
175,114,SO_BUS
176,23,SO_BUS
177,47,SO_BUS
178,57,SO_BUS
