"id","dmf_academicpage_id","dmf_taxonomyterm_id"
1,1,FS_MINI
2,1,FS_BIBL
3,2,FS_LEMA
4,2,FS_MINI
5,2,FS_BIBL
6,3,FS_MISS
7,3,FS_ART
8,4,FS_BIBL
9,4,FS_THEO
10,5,FS_SOCI
11,6,FS_HUSER
12,6,FS_SOCI
13,7,FS_EMER
14,7,FS_SOCI
15,8,FS_SOCI
16,8,FS_CJ
17,9,FS_PSYC
18,9,FS_SOCI
19,10,FS_HUSER
20,10,FS_PSYC
21,10,FS_SOCI
22,11,FS_SPOM
23,11,FS_LEMA
24,11,FS_BUSI
25,12,FS_MINI
26,12,FS_BIBL
27,13,FS_ART
28,14,FS_ART
29,15,FS_ART
30,16,FS_ART
31,17,FS_ART
32,18,FS_THEO
33,18,FS_BIBL
34,19,FS_BUSI
35,20,FS_MARK
36,20,FS_BUSI
37,21,FS_FIAC
38,21,FS_BUSI
39,22,FS_BUSI
40,22,FS_INFOT
41,23,FS_BUSI
42,23,FS_INFOT
43,24,FS_MINI
44,24,FS_BIBL
45,25,FS_MISS
46,25,FS_BIBL
47,26,FS_MINI
48,26,FS_BIBL
49,27,FS_LEMA
50,27,FS_SPOM
51,27,FS_BUSI
52,28,FS_ART
53,29,FS_ART
54,30,FS_CJ
55,30,FS_SOCI
56,31,FS_PSYC
57,31,FS_SOCI
58,32,FS_ART
59,33,FS_ART
60,34,FS_THEO
61,34,FS_BIBL
62,35,FS_BUSI
63,35,FS_MARK
64,36,FS_BUSI
65,36,FS_INFOT
66,37,FS_BUSI
67,38,FS_FIAC
68,38,FS_BUSI
69,39,FS_MINI
70,39,FS_BIBL
71,40,FS_HUSER
72,40,FS_SOCI
73,41,FS_ART
74,42,FS_ART
75,43,FS_BUSI
76,44,FS_TEAE
77,45,FS_INFOT
78,46,FS_FIAC
79,46,FS_BUSI
80,48,FS_INFOT
81,49,FS_BUSI
82,50,FS_HEAL
83,50,FS_INFOT
84,51,FS_TEAE
85,52,FS_TEAE
86,53,FS_TEAE
87,54,FS_TEAE
88,55,FS_TEAE
89,56,FS_TEAE
90,58,FS_EMER
91,59,FS_INFOT
92,60,FS_FIAC
93,61,FS_SPOM
94,62,FS_TEAE
95,63,FS_EMER
96,63,FS_SOCI
97,64,FS_MARK
98,64,FS_BUSI
99,64,FS_INFOT
100,65,FS_MARK
101,65,FS_PSYC
102,65,FS_SOCI
103,65,FS_INFOT
104,66,FS_BUSI
105,66,FS_MINI
106,66,FS_BIBL
107,67,FS_HURS
108,67,FS_BUSI
109,68,FS_LEMA
110,68,FS_BUSI
111,68,FS_HEAL
112,69,FS_LEMA
113,69,FS_BUSI
114,70,FS_LEMA
115,70,FS_BUSI
116,71,FS_LEMA
117,71,FS_BUSI
118,72,FS_LEMA
119,72,FS_BUSI
120,73,FS_LEMA
121,73,FS_BUSI
122,73,FS_HEAL
123,74,FS_LEMA
124,75,FS_LEMA
125,75,FS_HURS
126,76,FS_LEMA
127,76,FS_BUSI
128,77,FS_LEMA
129,77,FS_BUSI
130,77,FS_HEAL
131,78,FS_LEMA
132,78,FS_BUSI
133,78,FS_INFOT
134,79,FS_LEMA
135,79,FS_HEAL
136,80,FS_LEMA
137,80,FS_BUSI
138,81,FS_BUSI
139,81,FS_LEMA
140,82,FS_EMER
141,82,FS_BUSI
142,84,FS_BIBL
143,84,FS_MINI
144,85,FS_BIBL
145,85,FS_MINI
146,86,FS_MISS
147,86,FS_BIBL
148,86,FS_MINI
149,87,FS_BIBL
150,87,FS_MINI
151,87,FS_LEMA
152,88,FS_BIBL
153,88,FS_MINI
154,88,FS_SPOM
155,89,FS_BIBL
156,89,FS_MINI
157,90,FS_INFOT
158,90,FS_BUSI
159,91,FS_ART
160,91,FS_TEAE
161,92,FS_ART
162,93,FS_ART
163,94,FS_MISS
164,94,FS_BIBL
165,95,FS_BIBL
166,95,FS_THEO
167,96,FS_BIBL
168,96,FS_THEO
169,97,FS_BIBL
170,97,FS_THEO
171,98,FS_BIBL
172,98,FS_THEO
173,99,FS_BUSI
174,99,FS_THEO
175,100,FS_BIBL
176,101,FS_BIBL
177,102,FS_TEAE
178,103,FS_TEAE
179,104,FS_TEAE
180,105,FS_TEAE
181,106,FS_TEAE
182,107,FS_TEAE
183,108,FS_TEAE
184,109,FS_TEAE
185,110,FS_TEAE
186,111,FS_HURS
187,111,FS_BUSI
188,112,FS_TEAE
189,113,FS_INFOT
190,113,FS_BUSI
191,113,FS_MARK
192,114,FS_BUSI
193,114,FS_FIAC
194,57,FS_BUSI
195,57,FS_HURS
