Academic Program	Code	Parent
Accounting MBA Concentration	bussin_con_mc_accou_XXonXX	bussin_deg_ma_buadco_XXonXX
Social Studies Concentration	educat_con_bc_sostco_caXXXX	educat_deg_bs_miched_caXXXX
Math Concentration	educat_con_bc_matcon_caXXXX	educat_deg_bs_miched_caXXXX
Language Arts Concentration	educat_con_bc_laarco_caXXXX	educat_deg_bs_miched_caXXXX
Integrated Social Studies Concentration	educat_con_bc_insoco_caXXXX	educat_deg_bs_ayaded_caXXXX
Integrated Mathematics Concentration	educat_con_bc_inmaco_caXXXX	educat_deg_bs_ayaded_caXXXX
Integrated Language Arts Concentration	educat_con_bc_inlaco_caXXXX	educat_deg_bs_ayaded_caXXXX
Human Resources Concentration	bussin_con_bc_humres_caonop	bussin_deg_ba_busine_caonop
Emergency Management Concentration	bussin_con_bc_ememan_caonop	bussin_deg_ba_busine_caonop
Digital Multi-Media Production Concentration	bussin_con_bc_dimmpr_caonop	bussin_deg_ba_busine_caonop
Accounting Concentration	bussin_con_bc_accou_caonop	bussin_deg_ba_busine_caonop
English as a Second Language Specialization	educat_spe_ma_maesls_caXXXX	educat_deg_ma_masedu_XXonXX
Human Resources MBA Concentration	bussin_con_mc_humres_XXonXX	bussin_deg_ma_buadco_XXonXX
Healthcare Management MBA Concentration	bussin_con_mc_heaman_XXonXX	bussin_deg_ma_buadco_XXonXX
Organizational Leadership MBA Concentration	bussin_con_mc_orglea_XXonXX	bussin_deg_ma_buadco_XXonXX
Healthcare Management Concentration	bussin_con_bc_heaman_caonop	bussin_deg_ba_busine_caonop
Organizational Leadership Certificate	artsci_con_bc_orglea_XXonXX	artsci_deg_ba_leamin_XXonXX
Human Resources MA in Leadership Concentration	bussin_con_mc_busman_XXonXX	bussin_deg_ma_leader_XXonXX
Healthcare Management MA in Leadership Concentration	bussin_con_mc_lemhco_XXonXX	bussin_deg_ma_leader_XXonXX
Logistics Management Concentration	bussin_con_bc_logman_caonop	bussin_deg_ba_busine_caonop
Organizational Leadership Concentration	bussin_con_bc_orglea_caonop	bussin_deg_ba_busine_caonop
Criminal Justice Administration Concentration	bussin_con_bc_crjuad_caonop	bussin_deg_ba_busine_caonop
Intercultural Ministries Concentration	artsci_con_bc_intmin_XXonXX	artsci_deg_ba_leamin_XXonXX
Sport, Recreation and Fitness Ministries Concentration	artsci_con_mc_sprefi_XXonXX	artsci_deg_ma_minist_XXonXX
Pastoral Ministry Concentration	artsci_con_bc_palemin_XXonXX	artsci_deg_ba_leamin_XXonXX
Instrumental Concentration	artsci_con_co_instro_caXXXX	artsci_deg_bs_musedu_caXXXX
Vocal Choral Concentration	artsci_con_co_voccho_caXXXX	artsci_deg_bs_musedu_caXXXX
Biblical Studies Concentration	artsci_con_bc_bibstu_XXonXX	artsci_deg_ba_leamin_XXonXX
Practical Theology Concentration	artsci_con_mc_prathe_XXonXX	artsci_deg_ma_minist_XXonXX
Church Planting Concentration	artsci_con_bc_chupla_XXonXX	artsci_deg_ba_leamin_XXonXX
Pastoral Care and Counseling Concentration	artsci_con_mc_pacaco_XXonXX	artsci_deg_ma_minist_XXonXX
Mathematics Specialization	educat_spe_ma_mamasp_caXXXX	educat_deg_ma_masedu_XXonXX
English Specialization	educat_spe_ma_maensp_caXXXX	educat_deg_ma_masedu_XXonXX
Curriculum and Instruction Specialization	educat_spe_ma_maecis_XXonXX	educat_deg_ma_masedu_XXonXX
Dual Intervention Specialist License	educat_lic_li_inspli_caXXXX	educat_deg_bs_eached_caXXXX
Business Management MA in Leadership Concentration	bussin_con_mc_lehrco_XXonXX	bussin_deg_ma_leader_XXonXX
Pre-Kindergarten Special Needs Endorsement	educat_end_en_pksnen_caXXXX	educat_deg_bs_mminsp_caXXXX
Digital Marketing MBA Concentration	bussin_con_mc_digmar_XXonXX	bussin_deg_ma_buadco_XXonXX
Finance MBA Concentration	bussin_con_mc_financ_XXonXX	bussin_deg_ma_buadco_XXonXX
